Month,Ridership
Jan-91,1708.917
Feb-91,1620.586
Mar-91,1972.715
Apr-91,1811.665
May-91,1974.964
Jun-91,1862.356
Jul-91,1939.86
Aug-91,2013.264
Sep-91,1595.657
Oct-91,1724.924
Nov-91,1675.667
Dec-91,1813.863
Jan-92,1614.827
Feb-92,1557.088
Mar-92,1891.223
Apr-92,1955.981
May-92,1884.714
Jun-92,1623.042
Jul-92,1903.309
Aug-92,1996.712
Sep-92,1703.897
Oct-92,1810
Nov-92,1861.601
Dec-92,1875.122
Jan-93,1705.259
Feb-93,1618.535
Mar-93,1836.709
Apr-93,1957.043
May-93,1917.185
Jun-93,1882.398
Jul-93,1933.009
Aug-93,1996.167
Sep-93,1672.841
Oct-93,1752.827
Nov-93,1720.377
Dec-93,1734.292
Jan-94,1563.365
Feb-94,1573.959
Mar-94,1902.639
Apr-94,1833.888
May-94,1831.049
Jun-94,1775.755
Jul-94,1867.508
Aug-94,1906.608
Sep-94,1685.632
Oct-94,1778.546
Nov-94,1775.995
Dec-94,1783.35
Jan-95,1548.415
Feb-95,1496.925
Mar-95,1798.316
Apr-95,1732.895
May-95,1772.345
Jun-95,1761.207
Jul-95,1791.655
Aug-95,1874.82
Sep-95,1571.309
Oct-95,1646.948
Nov-95,1672.631
Dec-95,1656.845
Jan-96,1381.758
Feb-96,1360.852
Mar-96,1558.575
Apr-96,1608.42
May-96,1696.696
Jun-96,1693.183
Jul-96,1835.516
Aug-96,1942.573
Sep-96,1551.401
Oct-96,1686.508
Nov-96,1576.204
Dec-96,1700.433
Jan-97,1396.588
Feb-97,1371.69
Mar-97,1707.522
Apr-97,1654.604
May-97,1762.903
Jun-97,1775.8
Jul-97,1934.219
Aug-97,2008.055
Sep-97,1615.924
Oct-97,1773.91
Nov-97,1732.368
Dec-97,1796.626
Jan-98,1570.33
Feb-98,1412.691
Mar-98,1754.641
Apr-98,1824.932
May-98,1843.289
Jun-98,1825.964
Jul-98,1968.172
Aug-98,1921.645
Sep-98,1669.597
Oct-98,1791.474
Nov-98,1816.714
Dec-98,1846.754
Jan-99,1599.427
Feb-99,1548.804
Mar-99,1832.333
Apr-99,1839.72
May-99,1846.498
Jun-99,1864.852
Jul-99,1965.743
Aug-99,1949.002
Sep-99,1607.373
Oct-99,1803.664
Nov-99,1850.309
Dec-99,1836.435
Jan-00,1541.66
Feb-00,1616.928
Mar-00,1919.538
Apr-00,1971.493
May-00,1992.301
Jun-00,2009.763
Jul-00,2053.996
Aug-00,2097.471
Sep-00,1823.706
Oct-00,1976.997
Nov-00,1981.408
Dec-00,2000.153
1-Jan,1683.148
1-Feb,1663.404
1-Mar,2007.928
1-Apr,2023.792
1-May,2047.008
1-Jun,2072.913
1-Jul,2126.717
1-Aug,2202.638
1-Sep,1707.693
1-Oct,1950.716
1-Nov,1973.614
1-Dec,1984.729
2-Jan,1759.629
2-Feb,1770.595
2-Mar,2019.912
2-Apr,2048.398
2-May,2068.763
2-Jun,1994.267
2-Jul,2075.258
2-Aug,2026.56
2-Sep,1734.155
2-Oct,1916.771
2-Nov,1858.345
2-Dec,1996.352
3-Jan,1778.033
3-Feb,1749.489
3-Mar,2066.466
3-Apr,2098.899
3-May,2104.911
3-Jun,2129.671
3-Jul,2223.349
3-Aug,2174.36
3-Sep,1931.406
3-Oct,2121.47
3-Nov,2076.054
3-Dec,2140.677
4-Jan,1831.508
4-Feb,1838.006
4-Mar,2132.446
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
